FILE NAME;Carlos_GrowthCurves_20210412_105616.csv;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PROTOCOL;Carlos_GrowthCurves;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILE_VERSION;03. Jan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE START;12.4.2021;10:56:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE END;12.4.2021;10:56:03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEVICE;BL144_CX-2DEB54;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
USER;Carlos;COMMENT;Growth curves in M9 minimal medium supplemented with different mixed chitinous sources (5 mg/ml);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PLATETYPE;MTP-48-FlowerPlate;LOT;2010101-hc-Temp30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTP ROWS;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTP COLUMNS;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILTERSETS;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNO;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;Process Parameters;;Calibration Parameters;;;;Criterion Parameters;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Biomass           ;620;620;48MTP;1;25;1;0;100;SET TEMPERATURE [C];30;Phi0;72,13;Biomass Slope;0;CRITERION;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Biomass           ;620;620;48MTP;1;20;1;0;100;SET HUMIDITY [%];85;Phi100;41,58;Biomass Offset;0;FI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Biomass           ;620;620;48MTP;1;15;1;0;100;SET O2 [%];20,95;Phi.min;55,89;Biomass Unit;DCW [g/L];FJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;pH-hc             ;470;525;48MTP;3;26;30;0;40;SET CO2 [%];0;Phi.max;11,1;;;FACTOR;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;pO2-hc            ;520;600;48MTP;4;45;30;0;40;SET SHAKER FREQUENCY [rpm];1000;pH0;6,14;;;S0;n. def.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;SET CYCLE TIME [min];20;dpH;0,53;;;EXTRA INFO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;SET EXP TIME [h];1193;Temp. Compensation for pH Calibration;FALSE;Temp. pH [C];30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Temp. Compensation for pO2 Calibration;FALSE;Temp. pO2 [C];30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
WELL No.;CONTENT;DESCRIPTION;CHANNEL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;READING ->;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143
;;;TIME [h] ->;0,03445;0,35282;0,68492;1,01862;1,35175;1,68521;2,0183;2,35253;2,68474;3,01916;3,35247;3,68589;4,01881;4,35247;4,68554;5,01928;5,35254;5,68634;6,01916;6,35278;6,68621;7,01951;7,35329;7,68573;8,01993;8,35328;8,68616;9,02002;9,35317;9,68679;10,02006;10,35307;10,68666;11,02007;11,35407;11,68728;12,0201;12,35374;12,68719;13,02067;13,35363;13,68659;14,02009;14,35463;14,68714;15,02076;15,35392;15,68758;16,02098;16,35394;16,68819;17,02146;17,35439;17,68827;18,02147;18,35404;18,68841;19,02106;19,35435;19,6879;20,02167;20,35523;20,68945;21,02207;21,35493;21,68878;22,0212;22,3554;22,68799;23,0217;23,35571;23,68919;24,02182;24,3554;24,68903;25,02237;25,3554;25,68902;26,02195;26,35603;26,68944;27,02257;27,35628;27,68929;28,02332;28,35576;28,68976;29,02304;29,35636;29,68993;30,02285;30,35621;30,69024;31,02306;31,3569;31,68998;32,02322;32,35729;32,68993;33,02361;33,35702;33,6898;34,02374;34,35691;34,69072;35,02402;35,35758;35,69049;36,02367;36,35793;36,69084;37,02417;37,35771;37,69088;38,02456;38,3577;38,69143;39,02464;39,35793;39,69176;40,02474;40,35854;40,69112;41,02484;41,35812;41,69181;42,02527;42,35847;42,69205;43,02488;43,35895;43,69164;44,0252;44,35831;44,69195;45,02565;45,35935;45,69224;46,02613;46,35861;46,69207;47,02592;47,35914
A01;X1;;1;436,882;422,904;415,008;410,317;405,428;409,87;399,99;409,89;405,708;410,032;400,393;399,631;399,062;405,735;413,131;424,28;425,443;428,098;425,459;443,936;433,187;440,213;461,49;455,267;467,501;460,609;478,7;473,753;477,52;485,605;493,965;491,873;504,04;503,07;503,185;512,156;527,833;532,295;543,253;540,311;553,557;560,715;564,869;558,165;558,214;549,846;565,204;547,608;547,84;541,096;540,934;535,169;525,477;534,167;540,332;535,998;538,126;525,102;527,276;525,34;518,57;527,821;516,26;511,718;518,102;517,908;523,404;516,43;528,947;519,892;515,381;511,955;505,546;512,251;514,863;507,937;518,603;513,126;507,069;513,215;509,959;505,457;500,32;511,908;501,679;509,04;517,662;517,991;509,365;506,753;497,503;506,082;505,48;506,346;514,301;495,593;504,363;492,78;510,585;509,542;497,683;504,371;511,104;507,014;504,298;504,782;506,268;503,775;503,313;505,251;499,467;506,024;506,272;510,173;508,354;501,643;515,255;511,274;499,723;509,763;506,079;510,369;508,892;496,044;503,574;496,88;504,942;498,683;503,69;512,72;501,887;508,051;497,703;510,508;499,714;504,099;502,24;496,749;498,675;494,213;507,907;492,917;510,593
A02;X2;;1;425,636;414,188;407,045;396,47;394,173;388,275;394,786;397,936;392,107;399,411;391,777;388,231;391,907;392,781;404,717;403,79;421,912;412,409;419,246;415,847;425,694;431,763;442,586;439,839;450,3;457,609;464,996;461,929;466,047;471,095;489,14;484,805;483,921;490,86;496,59;501,229;503,517;516,822;521,544;527,599;541,862;541,55;546,312;561,064;536,62;543,862;536,656;538,022;533,799;533,583;536,849;525,723;520,175;517,971;520,887;524,829;531,038;511,705;523,614;508,708;509,338;509,501;514,933;506,232;508,684;511,147;507,156;507,84;504,559;498,833;496,981;502,213;502,728;500,695;505,838;501,637;505,495;508,632;497,748;501,488;497,398;499,99;488,683;501,433;494,626;500,658;504,672;504,231;497,671;501,248;496,544;499,305;507,84;491,999;504,045;496,674;499,4;500,464;494,952;496,014;501,425;501,83;496,976;503,101;501,689;502,269;496,857;495,783;493,524;498,06;500,984;507,281;503,753;498,958;496,278;504,175;508,663;499,914;489,632;504,563;497,53;499,712;490,359;501,029;490,084;486,411;483,06;496,58;496,803;497,658;503,675;497,639;488,603;492,915;493,198;494,1;495,016;502,954;489,368;491,604;490,827;502,593;499,485
A03;X3;;1;408,639;388,18;380,227;373,509;377,386;383,884;379,107;380,199;368,691;374,692;378,68;381,426;370,474;384,155;377,937;388,78;384,996;398,465;394,669;403,208;408,626;407,741;416,862;413,746;434,078;430;441,109;446,051;442,539;438,38;455,267;452,248;467,033;465,378;468,783;476,533;478,139;490,798;494,567;492,468;509,948;524,224;512,457;524,622;532,09;517,586;520,2;502,925;508,354;516,077;506,161;509,104;502,683;502,098;497,881;488,703;497,118;496,649;497,565;495,581;484,04;486,58;488,193;484,146;489,676;487,3;481,18;469,41;478,743;473,434;478,894;477,429;486,327;470,705;487,08;470,526;472,049;483,241;481,291;469,358;473,754;468,314;470,945;471,772;463,791;477,37;470,185;463,532;467,528;464,131;461,953;472,439;468,424;459,67;469,89;466,3;466,87;468,155;463,859;475,141;461,021;471,238;460,593;466,392;467,676;473,297;464,13;471,874;457,886;478,264;460,562;463,697;461,429;467,251;468,942;467,24;469,964;461,476;462,158;467,197;467,863;473,609;466,523;470,828;457,179;459,778;466,426;469,928;470,924;466,336;468,929;458,557;459,249;458,223;456,423;462,542;464,606;464,794;465,699;466,886;465,881;459,633;475,176
A04;X4;;1;464,487;452,115;439,437;435,597;434,596;442,143;431,433;435,748;435,592;427,696;436,681;436,517;431,31;428,346;418,43;423,39;437,612;424,322;425,525;425,111;421,764;427,162;431,919;423,808;432,653;419,576;426,206;426,153;419,842;419,829;422,923;422,519;421,993;425,902;424,205;430,41;423,176;422,294;421,437;411,177;421,456;420,791;426,481;413,379;412,28;418,637;414,985;410,052;412,878;412,685;417,801;417,999;419,285;407,48;412,7;428,563;413,518;414,102;426,116;417,065;415,932;416,089;415,063;411,298;415,841;407,918;412,356;406,222;405,591;415,039;408,784;419,66;407,83;404,996;407,496;406,655;415,7;413,644;402,773;407,384;419,878;407,641;408,751;407,039;420,003;413,09;402,313;406,682;404,904;410,154;410,47;404,197;411,118;408,024;408,115;405,779;403,057;405,443;415,327;415,763;417,22;407,653;409,026;409,981;404,953;405,672;407,735;407,934;411,244;412,415;414,04;407,573;408,593;397,505;406,3;409,37;416,859;412,647;408,848;408,259;400,514;404,079;406,597;408,238;404,553;398,391;391,22;401,861;395,581;406,943;405,565;404,725;406,886;406,157;403,909;401,753;412,426;399,036;397,984;407,594;392,463;414,594;401,19
A05;X5;;1;390,207;355,536;351,031;342,017;337,025;341,137;339,517;345,633;328,725;338,677;338,427;332,507;334,48;332,873;334,162;339,758;339,793;337,331;345,154;338,965;364,894;360,84;367,716;381,433;391,818;405,821;423,156;436,822;450,297;463,492;475,602;491,454;493,931;501,269;510,839;532,566;532,368;532,292;545,426;566,621;553,129;553,708;542,108;552,188;553,189;546,96;549,55;530,928;547,957;565,024;562,785;556,239;550,679;552,736;556,925;544,712;538,929;568,625;568,292;540,193;535,187;524,57;538,02;539,076;520,355;525,921;517,969;525,745;523,564;522,876;507,678;503,731;496,928;501,625;489,019;482,929;480,574;487,451;478,623;468,435;471,256;463,252;468,808;460,519;479,555;465,391;444,234;451,284;450,678;444,077;438,189;435,308;436,959;429,239;427,039;426,219;422,602;431,827;435,988;426,971;419,517;424,523;424,127;422,199;413,362;417,059;413,361;422,07;414,953;410,652;408,03;412,03;415,309;408,74;405,398;400,722;398,657;407,235;413,116;403,68;401,471;396,661;402,492;404,063;403,307;402,235;395,984;389,785;394,626;390,844;400,76;394,452;398,25;386,792;385,336;390,423;393,413;393,63;384,703;389,001;381,189;389,705;384,038
A06;X6;;1;382,218;353,938;343,242;337,332;336,307;332,982;326,672;327,911;325,034;333,786;322,032;332,038;329,331;337,485;331,176;334,228;329,694;338,166;333,149;339,89;348,998;352,647;361,374;376,477;391,365;391,327;413,863;433,985;441,437;453,253;465,301;486,267;478,266;501,205;505,97;507,616;526,693;532,893;535,275;523,478;536,889;529,525;523,93;532,925;537,002;544,364;543,619;542,314;546,011;546,575;534,216;531,298;536,117;530,781;519,474;539,331;530,028;517,579;502,573;502,763;495,973;505,501;505,302;506,828;494,875;488,658;474,508;466,77;469,784;457,961;455,685;451,354;450,86;441,742;446,782;444,958;458,529;440,109;437,989;433,949;445,652;436,432;451,529;440,252;438,081;442,395;438,705;438,501;439,755;425,536;413,617;423,997;419,975;423,642;413,61;412,158;415,294;408,186;415,458;413,07;409,874;411,113;406,434;405,082;407,424;408,914;404,395;402,133;402,833;396,369;401,897;396,74;399,752;404,323;395,629;400,766;400,781;397,676;393,524;394,79;396,259;394,384;396,219;398,158;393,462;390,948;395,272;400,06;397,283;396,821;408,221;396,416;393,707;396,225;394,367;392,42;387,593;389,713;397,698;400,589;403,039;398,269;394,48
A07;X7;;1;368,59;341,094;335,947;329,235;327,649;317,933;321,243;316,453;322,425;320,44;316,319;320,653;317,868;316,657;320,111;326,424;323,912;323,27;319,824;335,726;339,879;340,633;347,374;362,885;378,14;385,925;396,999;416,391;427,012;444,952;445,521;459,591;473,429;486,111;512,222;518,708;514,696;522,727;527,19;512,087;526,498;525,202;530,193;525,589;526,406;524,273;527,364;530,621;519,887;512,331;526,216;519,528;525,775;518,072;517,78;510,56;517,147;505,692;508,067;508,035;494,874;485,718;493,147;478,523;475,229;474,764;468,159;456,96;450,689;452,701;452,667;440,589;445,507;452,735;438,687;442,073;445,692;441,527;433,632;441,547;436,62;433,228;445,196;432,874;441,058;432,913;429,906;427,508;425,895;418,577;421,278;414,369;405,467;413,078;408,134;406,412;403,278;406,408;408,496;408,101;399,075;400,633;412,434;402,478;392,596;390,204;394,085;397,872;397,735;391,051;396,245;391,979;406,78;402,004;391,855;386,996;390,152;390,89;392,454;391,805;387,912;382,126;391,673;387,495;387,691;394,725;392,807;391,3;389,072;391,306;389,997;388,371;383,532;385,654;383,602;382,602;379,929;379,01;380,032;382,866;380,821;386,973;382,755
A08;X8;;1;374,854;336,236;327,904;324,461;327,952;318,361;317,123;319,698;322,171;314,454;320,603;322,597;315,069;319,869;315,908;313,733;314,038;314,305;316,541;312,511;318,924;311,1;309,607;313,574;314,136;319,951;307,972;319,38;317,366;317,304;321,338;319,417;317,786;314,39;314,718;314,783;308,925;314,31;319,479;318,524;322,353;311,169;314,277;309,745;319,621;317,742;309,322;312,523;320,552;319,754;312,468;316,963;317,223;313,549;315,018;316,91;316,28;313,953;317,988;314,894;311,268;315,75;317,742;305,86;314,892;310,72;321,493;314,353;319,104;315,593;313,936;315,171;315,758;317,342;323,442;313,024;318,172;312,322;314,171;324,236;316,295;317,164;317,995;313,742;316,238;315,003;317,75;315,591;308,772;315,681;316,027;308,089;315,102;313,577;313,887;311,192;315,171;310,653;319,37;315,978;318,507;316,806;314,846;323,416;311,58;320,047;309,973;318,243;318,866;311,71;315,809;311,787;316,196;319,526;314,383;324,881;313,974;317,822;315,163;317,169;317,683;318,226;323,35;323,337;314,165;310,562;312,6;323,143;315,758;317,31;323,07;319,177;315,062;300,228;313,185;312,931;319,073;314,287;316,426;316,198;314,644;311,143;306,967
B01;X9;;1;474,13;453,959;446,144;445,123;444,895;448,645;443,962;449,824;447,842;450,118;447,964;449,999;456,839;444,04;443,872;447,032;448,645;447,408;443,889;451,573;456,443;458,019;464,506;468,314;469,111;476,859;477,901;481,698;486,428;496,247;505,426;504,056;514,426;514,536;524,386;525,5;546,837;559,476;550,816;539,997;537,855;534,187;530,111;528,911;523,976;527,405;527,647;519,728;518,909;520,659;526,979;519,21;512,066;511,373;517,585;513,973;510,582;511,878;507,848;504,101;505,568;505,17;505,124;506,972;505,527;507,864;508,451;499,626;498,245;500,756;503,355;495,993;496,721;492,854;491,657;492,258;487,099;495,636;490,494;485,219;494,433;483,698;490,215;478,578;488,291;490,047;485,477;487,689;478,786;480,159;474,737;474,582;478,521;478,618;478,015;473,786;472,693;473,031;466,289;472,868;465,031;472,056;471,79;466,189;467,005;473,584;466,333;466,855;465,543;469,037;467,345;466,779;465,622;466,477;460,408;457,795;466,117;457,937;463,849;457,689;459,544;460,442;461,81;455,408;457,332;452,573;452,335;453,534;460,406;455,007;459,777;457,953;459,905;463,352;457,258;458,415;466,802;463,205;458,771;455,258;455,716;457,905;456,356
